11031 BISSONNET HOUSTON TX 77099-0000,529T,06-073,COMP MAINT,CHECK MTR
2910 GREGG HOUSTON TX 77026-5631,494A,18-017,COMP MAINT,CHECK ERT
5545 N MCCARTY HOUSTON TX 77013-2510,455U,18-073,COMP MAINT,CHECK ERT
6843 ROXBURY RD HOUSTON TX 77087-5105,534V,01-030,COMP MAINT,CHECK REG
5619 KIAM HOUSTON TX 77007-1118,492B,13-006,COMP MAINT,CHECK ERT
1447 TULANE HOUSTON TX 77008-4143,452R,13-020,COMP MAINT,CHECK MTR
522 KORFF DR HOUSTON TX 77038-0000,412H,16-072,COMP MAINT,CHECK MTR
7816 GLADSTONE #B HOUSTON TX 77051-1447,533U,04-010,COMP MAINT,CHECK MTR
220 ARMSTRONG HOUSTON TX 77029-4804,495V,18-049,COMP MAINT,CHECK MTR
4427 WARM SPRINGS RD HOUSTON TX 77035-6025,571D,05-040,COMP MAINT,CHECK MTR
3008 FLEETWOOD HOUSTON TX 77093-4332,414S,16-026,COMP MAINT,CHECK MTR
6103 EMERALD BAY POINT LN PORTER TX 77365-0000,297K,20-045,COMP MAINT,CHECK MTR
600 N SHEPHERD DR BUILDING 4 HOUSTON TX 77007-1319,492D,13-070,COMP MAINT,CHECK ERT
2519 PEPPERMILL RD HOUSTON TX 77080-4405,450Q,12-046,COMP MAINT,CHECK MTR
7220 FARNSWORTH HOUSTON TX 77022-0000,453L,15-028,COMP MAINT,CHECK ERT
10158 HADDINGTON DR HOUSTON TX 77043-3350,449V,12-020,COMP MAINT,CHECK MTR
3512 DENNIS HOUSTON TX 77004-0000,494W,04-036,COMP MAINT,CHECK MTR
850 W HEIGHTS HOLLOW LN HOUSTON TX 77007-0000,493E,09-073,COMP MAINT,CHECK MTR
6234 BROOK LEA HOUSTON TX 77087-3316,534Q,01-024,COMP MAINT,CHECK REG
5742 GLENHURST DR HOUSTON TX 77033-2006,534S,03-028,COMP MAINT,CHECK MTR
17300 JOHN F KENNEDY BLVD #D HOUSTON TX 77032-0000,374F,16-075,COMP MAINT,CHECK MTR
5215 SCHULER P1-2 HOUSTON TX 77007-0000,492G,09-007,COMP MAINT,CHECK REG
912 SUNNYSIDE HOUSTON TX 77076-3425,413X,16-039,COMP MAINT,CHECK MTR
3100 GREENS RD HOUSTON TX 77032-0000,374P,16-070,COMP MAINT,CHECK MTR
1814 ROSALIE HOUSTON TX 77004-3040,493U,09-027,COMP MAINT,CHECK MTR
9122 VOGUE LN HOUSTON TX 77080-5518,450Q,12-031,COMP MAINT,CHECK MTR
3823 HEATHERBLOOM DR P1-1 HOUSTON TX 77045-0000,572N,06-003,COMP MAINT,CHECK MTR
12510 BEXLEY DR HOUSTON TX 77099-1311,528R,08-012,COMP MAINT,CHECK MTR
1127 W 24TH #C HOUSTON TX 77008-0000,452U,13-014,COMP MAINT,CHECK MTR
1127 W 24TH #F HOUSTON TX 77008-0000,452U,13-014,COMP MAINT,CHECK MTR
9146 SPRING BRANCH DR P1-2 HOUSTON TX 77080-0000,450U,12-030,COMP MAINT,CHECK MTR
11507 HUGHES 1/2 RD #C HOUSTON TX 77089-0000,576Y,02-043,COMP MAINT,CHECK ERT
11402 HUGHES RD P1-1 HOUSTON TX 77089-4639,576Y,02-043,COMP MAINT,CHECK ERT
9118 WEYMOUTH DR HOUSTON TX 77031-3034,570A,07-045,COMP MAINT,CHECK ERT
917 KING HOUSTON TX 77022-5631,453R,15-024,COMP MAINT,CHECK ERT
5730 ROCKY TRAIL DR HOUSTON TX 77339-0000,297N,20-043,COMP MAINT,CHECK ERT
6314 EZZARD CHARLES LN HOUSTON TX 77091-1736,412W,14-049,COMP MAINT,CHECK MTR
2211 BENS VIEW TRL KINGWOOD TX 77339-5307,337F,20-076,COMP MAINT,INSTAL ERT
3023 N HEIGHTS HOLLOW LN HOUSTON TX 77007-7069,493J,09-073,COMP MAINT,CHECK MTR
425 BENBROOK DR HOUSTON TX 77076-1721,413T,16-055,COMP MAINT,CHECK MTR
1522 VERMONT #A HOUSTON TX 77006-0000,492R,09-021,COMP MAINT,CHECK ERT
410 BISHOP HOUSTON TX 77009-8003,493G,15-008,COMP MAINT,CHECK MTR
11122 BANDLON DR HOUSTON TX 77072-1908,529F,08-033,COMP MAINT,CHECK REG
8403 DODSON HOUSTON TX 77093-7801,454F,17-053,COMP MAINT,CHECK MTR
1126 MALONE ST HOUSTON TX 77007,492G,09-005,COMP MAINT,CHECK MTR
5539 SYLMAR RD HOUSTON TX 77081-7423,531J,07-061,COMP MAINT,CHECK MTR
2505 DORRINGTON #E/P2-1 HOUSTON TX 77030-0000,532G,05-019,COMP MAINT,CHECK MTR
9643 BEVERLYHILL 100 HOUSTON TX 77063-3727,490W,11-001,COMP MAINT,CHECK MTR
1901 BISSONNET HOUSTON TX 77005-1644,492Z,05-010,COMP MAINT,CHECK MTR
1917 W 25TH ST HOUSTON TX 77008,452T,13-013,COMP MAINT,CHECK MTR
1503 W T C JESTER BLVD HOUSTON TX 77008-3237,452X,13-003,COMP MAINT,CHECK MTR
5846 HERON DR HOUSTON TX 77033-2235,574B,03-023,COMP MAINT,CHECK MTR
2318 HOLLIS HOUSTON TX 77093-5419,413Z,16-052,COMP MAINT,CHECK MTR
5610 ALMEDA RD P1-1 HOUSTON TX 77004-0000,533B,05-003,COMP MAINT,CHECK MTR
4158 MEYERWOOD DR HOUSTON TX 77025-4039,532S,05-032,COMP MAINT,CHECK ERT
7505 W TIDWELL RD HOUSTON TX 77092-0000,450D,14-077,COMP MAINT,CHECK MTR
3707 ORANGE HOUSTON TX 77020-4031,494F,18-024,COMP MAINT,CHECK ERT
7320 STANWICK DR HOUSTON TX 77087-6016,534V,01-029,COMP MAINT,CHECK MTR
9127 RANGELY DR HOUSTON TX 77055-4510,450Y,12-027,COMP MAINT,CHECK ERT
2601 WAUGH DR HOUSTON TX 77006-0000,493S,09-033,COMP MAINT,CHECK MTR
6826 KERNEL HOUSTON TX 77087-1640,534H,01-004,COMP MAINT,CHECK MTR
974 CHAMBOARD LN HOUSTON TX 77018-3200,452L,14-010,COMP MAINT,CHECK ERT
711 AXILDA HOUSTON TX 77017-4211,536J,02-015,COMP MAINT,CHECK ERT
13035 ROSE LANDING DR P1-1 HOUSTON TX 77070-0000,369M,14-078,COMP MAINT,CHECK MTR
1016 AURORA HOUSTON TX 77009-1058,453T,13-031,COMP MAINT,CHECK ERT
139 WOOLWORTH HOUSTON TX 77020-3100,494D,18-038,COMP MAINT,CHECK MTR
11026 LINDEN GATE DR HOUSTON TX 77075-2440,575D,03-060,COMP MAINT,CHECK MTR
